id	kind	path_or_pattern	source_ref	snapshot_identity	content_identity	status	migration_role	limitations
SRC-REPO	repository	https://github.com/NIMH-MLT/dl_morphometrics_biases	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	tree:a20dbdcf9aba57e3661c375a0e4225b37a01d6fb	present-clean	Historical source snapshot	Commit is current main, not an identified result-generating commit; remote was not fetched during audit
SRC-README	documentation	README.md	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:a423c8237fe4ede74bc090a4ff74c52f8a7c1092	present-tracked	Repository description	Describes output and data directories that are absent
SRC-GITATTR	configuration	.gitattributes	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:305a9b048a2cd1a35790f3e51c61add57122a8f2	present-tracked	Notebook filtering policy	Notebook execution counts and outputs were stripped
SRC-GITIGNORE	configuration	.gitignore	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:0f3fea8a6f44db97e6e2b959a36c556ad0304b85	present-tracked	Ignore policy	Explicitly ignores pixi.lock and uv.lock
SRC-PRECOMMIT	configuration	.pre-commit-config.yaml	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:4a55f7fccf500b9bf089ecbd75b4ea9a9551404b	present-tracked	Developer lint policy	Not a scientific runtime identity
SRC-PYTHON	configuration	.python-version	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:bd28b9c5c27e0dfa60da94179ec9b23f2be8be0c	present-tracked	Python declaration	Only 3.9; notebooks report 3.9.15 and 3.9.18
SRC-PROJECT-MANIFEST	manifest	pyproject.toml	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:48961a87e09726b179b73aaf672c367f55ad953b	present-tracked	Package and dependency declarations	Uses ranges; no resolved lock; extraction script has a conflicting pandas upper bound
SRC-PACKAGE-INIT	module	dl_morphometrics_helpers/__init__.py	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:d9e86012b1d4ea72fae1f8f740131e9ff10a8498	present-tracked	Version declaration	No public API exports
SRC-CONSTANTS	module	dl_morphometrics_helpers/constants.py	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:84e88351954bf2897eaf763372406d60e9fa1092	present-tracked	Pipeline, metric, atlas, comparison, and path declarations	Hard-coded controlled-data and cache paths
SRC-DATA-PROCESSING	module	dl_morphometrics_helpers/data_processing.py	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:d443a231975afeedd1ff7ff71e1e6c6b8d5ef01d	present-tracked	Hemisphere and region-name helpers	Only two small helper functions
SRC-FSSTATS	script	scripts/fsstats_extraction.py	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:5658ea7985908101674a3996ead3fa9f612c154d	present-tracked	Extracts brainvol and aparc TSVs	Path-derived pickle cache is not content-addressed provenance
SRC-FREEVIEW	script	scripts/comparison_script.sh	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:a6ba84cdc9557783dae00184978093860f32d129	present-tracked	Interactive volume comparison	Hard-coded source tree and FreeSurfer host state; tracked mode is non-executable
SRC-NB-CHECK	notebook	notebooks/check_numbers.ipynb	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:1bef5e5188b862c7bc6c7964e2724de53b037957	present-tracked	Exploratory statistics, plots, regional models, and one Feather write	150 code cells; no outputs; older fs_stats path and untracked inputs
SRC-NB-SWARM-LOGS	notebook	notebooks/exploration-recon-any-swarm.ipynb	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:a1772535a8fbf6d2de0c1e7a4d9625b6832ebb6a	present-tracked	Ad hoc Swarm-log inspection	Referenced logs absent
SRC-NB-FIGURES	notebook	notebooks/figures.ipynb	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:720b364a88a3a1e0922360230979d403e2fec7b5	present-tracked	Main analysis and figure generation	No outputs; broken cfg.cfg references; unseeded split; deliberate AssertionError
SRC-NB-PROCESS	notebook	notebooks/process_freesurfer_recon-any.ipynb	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:e5d50b419cf3b4453902dc319f0bfb334a8df03f	present-tracked	Notebook wrapper for stats extraction	Duplicates the tracked script and mutates inline UV metadata
SRC-NB-RUN-ANY	notebook	notebooks/run_freesurfer.ipynb	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:28ce57d7b737af271fb76d0df771bacf7e71fea5	present-tracked	Builds and submits recon-any native and resampled Swarm commands	Mentions freesurfer/8.0.0-beta; exact build, weights, commands, and logs absent
SRC-NB-RUN-FS8	notebook	notebooks/run_freesurfer8-recon-all.ipynb	main	448bf1a311c1ab8310cbab613a8123bb4a4f4a00	blob:0c0b203e3b4a2ee332afd0cb1ba30a02a6d18dd9	present-tracked	Builds FreeSurfer 8 recon-all and failed-subject reruns	Mentions 8.0.0, not the intended 8.2.0 reconstruction target; commands, logs, outputs absent
BR-REF	repository-branch	.	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	tree:b4df6b4efc65e804889be8222f61585036b6541b	non-main	Later FreeSurfer 8.1 and SynthSR evidence	Six commits ahead of main; later inclusion or exclusion decision required
BR-CONSTANTS	module	dl_morphometrics_helpers/constants.py	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:333a152a0c44311870b0cea5107e7610eb422556	non-main	Later recon-all 8.1 and SynthSR definitions	Not part of the main snapshot
BR-DATA-PROCESSING	module	dl_morphometrics_helpers/data_processing.py	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:cfb814f8f50fbb0fd6568b0c1b40c51be7527356	non-main	Expanded processing logic	Not part of the main snapshot
BR-DLM-UTILS	module	dl_morphometrics_helpers/dlm_utils.py	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:669ec842967574086a5a8a6e0d10ff91bec4f52a	non-main	Swarm command-builder module	Not part of the main snapshot
BR-SYNTHSR-PLAN	documentation	docs/synthsr-seeding.md	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:cfaf6b49102e4c4baed7cebba863291c79c6bb27	non-main	SynthSR-seeded recon-all plan	Not part of the main snapshot
BR-CHECK	notebook	notebooks/check_numbers.ipynb	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:0a2b3b0d730b0d843fd03fd602c66bbf7bcfa37f	non-main	Later exploratory analysis	Not part of the main snapshot
BR-FIGURES	notebook	notebooks/figures.ipynb	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:908fe1658f36cbf67e44afecbfe762ef1dcb72ce	non-main	Later figure analysis	Not part of the main snapshot
BR-RUN-FS8	notebook	notebooks/run_freesurfer8-recon-all.ipynb	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:df2fcae71fb5bb16e0a300e9fae9e31c4cc274f5	non-main	FreeSurfer 8.1 and SynthSR execution work	Not part of the main snapshot
BR-PROJECT-MANIFEST	manifest	pyproject.toml	origin/add-synthsr-plan	7c7e2200945a914eb5fcd1e84c49419429d8ace6	blob:dcb6dd76871a7d0922c05aa1df4c27de4ce8f39f	non-main	Later environment declaration	Still unpinned
EXT-SCAN-MANIFEST	input-manifest	/data/ABCD_MBDU/ohbm2024/code/balanced_scans.csv	external	unknown	unknown	missing-from-repository	Historical cohort selection	No checksum, release, query, selection procedure, or retained copy
EXT-ABCD-BIDS	input-data	/data/ABCD_DSST/ABCD/imaging_data/fast_track/rawdata/	external-controlled	unknown	unknown	missing-from-repository	Raw T1w and T2w inputs	Controlled; no dataset version, file identities, or access record
EXT-SESSIONS	input-metadata	/data/ABCD_DSST/ABCD/imaging_data/fast_track/sessions.tsv	external-controlled	unknown	unknown	missing-from-repository	Age, sex, site, subject, and session metadata	No checksum or version
EXT-FASTAGES	input-metadata	/data/ABCD_DSST/ABCD/imaging_data/fast_track/code/abcd_fastqc01_history/2024-05-01/abcd_fastqc01_ages_innerjoin_sessions_without_age.tsv	external-controlled	unknown	unknown	missing-from-repository	Supplementary ages	Date in path but content identity absent
EXT-LIFESPAN	input-data	data/lifespan_supplements/Table2_Milestones/Table_2_2.csv	external	unknown	unknown	missing-from-repository	Regional milestone comparison	Origin and checksum absent
EXT-TEMPLATEFLOW	input-data	templateflow/tpl-fsaverage/**	external-cache	unknown	unknown	missing-from-repository	Surface meshes, labels, LUTs, and sulcal maps	Exact TemplateFlow artifacts and hashes absent
RESULT-FS-TREES	derivative	data/derivatives/freesurfer/<pipeline>/<subject>/<session>/fs_out/<subject>/**	external-generated	unknown	unknown	missing-from-repository	FreeSurfer and recon-any payloads	No dataset commit, hashes, complete pipeline list, runtime identity, or acceptance record
RESULT-STATS-GLOBAL	derivative	data/derivatives/leej3/fs_stats_multi/<pipeline>/BrainConfounds.tsv	external-generated	unknown	unknown	missing-from-repository	Extracted global metrics	Up to nine pipeline files; no retained identities
RESULT-STATS-REGIONAL	derivative	data/derivatives/leej3/fs_stats_multi/<pipeline>/atlas-<atlas>_<metric>.tsv	external-generated	unknown	unknown	missing-from-repository	Regional aparc metrics	Up to 162 files; no retained identities
RESULT-STATS-CACHE	cache	data/derivatives/leej3/fs_stats_multi/stats_dir_cache_<path-md5>.pkl	external-generated	unknown	unknown	missing-from-repository	Session-discovery cache	Digest covers path strings rather than input content; never authoritative
RESULT-FEATHER	derived-table	data/derivatives/fs_stats/var-age_atlas-Desikan2006.feather	external-generated	unknown	unknown	missing-from-repository	Regionwise age-effect table	Different output root; no retained identity
RESULT-FIG-REG	figure	output/images/regression_table_{RAC_stats,RANY_stats}.{png,pdf}	external-generated	unknown	unknown	missing-from-repository	Named regression-table figures	Files and hashes absent
RESULT-FIG-CORR	figure	output/images/correlation_summaries_{RAC,RANY}.{png,pdf}	external-generated	unknown	unknown	missing-from-repository	Named comparison figures	Files and hashes absent
RESULT-FIG-SURFACE	figure	output/images/surface_age_beta_{RAC_T1,RANY_T1}.{png,pdf}	external-generated	unknown	unknown	missing-from-repository	Named surface-age figures	Files and hashes absent
RESULT-IN-MEMORY	result-family	global_resses;rgn_resses;fix_resses;siteresses;mdl_resses;model_summaries	notebook-memory	unknown	unknown	not-materialized	Model tables, coefficients, tests, and performance statistics	Claim-relevant values exist only as code paths; outputs stripped
RESULT-UNSAVED-FIGURES	figure-family	Figure 2 global-volume and regionwise-age panels plus exploratory figures	notebook-memory	unknown	unknown	not-materialized	Additional claim-oriented figures	Created in memory without stable output paths
RESULT-SWARM-COMMANDS	provenance	swarm/swarm_commands/**	external-generated	unknown	unknown	missing-from-repository	Generated execution commands	Not retained
RESULT-SWARM-LOGS	provenance	swarm/swarm_logs/**	external-generated	unknown	unknown	missing-from-repository	Scheduler logs, job IDs, and failure evidence	Absent; notebooks retain only scattered IDs and manual failed-subject list
RESULT-POSTER	reference	docs/reference/recon_all_recon_any_poster_ohbm2025.pdf	OSF:10.17605/OSF.IO/P3KNS	OSF-file:mn47a;version:1	sha256:9031199b6da81817e157bb3e762cedf349a844444a707cbb6ff97a4acba901f6	present-annexed-and-web-retrievable	Historical claim-bearing reference	OSF node has no explicit node licence; no recorded lineage connects the poster to source, data, runtime, or generated files
