result_id	target_id	evidence_class	study_id	artifact_type	path	dataset_commit	run_record	container_id	sif_annex_key	sif_sha256	input_ids	code_commit	config_path_and_hash	reproduce_task	validation_status	limitation
pilot-ds007116--global-racl-native-cort-gmv-agreement-figure	global-racl-native-cort-gmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-native-cort-gmv-agreement-figure	global-racl-native-cort-gmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-native-cort-gmv-r2-stat	global-racl-native-cort-gmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-native-cort-gmv-r2-stat	global-racl-native-cort-gmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-native-cereb-wmv-agreement-figure	global-racl-native-cereb-wmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-native-cereb-wmv-agreement-figure	global-racl-native-cereb-wmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-native-cereb-wmv-r2-stat	global-racl-native-cereb-wmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-native-cereb-wmv-r2-stat	global-racl-native-cereb-wmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-native-age-residual-figure	global-racl-native-age-residual-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-native-age-residual-figure	global-racl-native-age-residual-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-native-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-1x1x5-cort-gmv-agreement-figure	global-racl-1x1x5-cort-gmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-1x1x5-cort-gmv-agreement-figure	global-racl-1x1x5-cort-gmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-1x1x5-cort-gmv-r2-stat	global-racl-1x1x5-cort-gmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-1x1x5-cort-gmv-r2-stat	global-racl-1x1x5-cort-gmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-1x1x5-cereb-wmv-agreement-figure	global-racl-1x1x5-cereb-wmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-1x1x5-cereb-wmv-agreement-figure	global-racl-1x1x5-cereb-wmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-1x1x5-cereb-wmv-r2-stat	global-racl-1x1x5-cereb-wmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-1x1x5-cereb-wmv-r2-stat	global-racl-1x1x5-cereb-wmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-racl-1x1x5-age-residual-figure	global-racl-1x1x5-age-residual-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-racl-1x1x5-age-residual-figure	global-racl-1x1x5-age-residual-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-racl-1x1x5-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-native-cort-gmv-agreement-figure	global-rany-native-cort-gmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-native-cort-gmv-agreement-figure	global-rany-native-cort-gmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-native-cort-gmv-r2-stat	global-rany-native-cort-gmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-native-cort-gmv-r2-stat	global-rany-native-cort-gmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-native-cereb-wmv-agreement-figure	global-rany-native-cereb-wmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-native-cereb-wmv-agreement-figure	global-rany-native-cereb-wmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-native-cereb-wmv-r2-stat	global-rany-native-cereb-wmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
