result_id	target_id	evidence_class	study_id	artifact_type	path	dataset_commit	run_record	container_id	sif_annex_key	sif_sha256	input_ids	code_commit	config_path_and_hash	reproduce_task	validation_status	limitation
claim-abcd--global-rany-native-cereb-wmv-r2-stat	global-rany-native-cereb-wmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-native-age-residual-figure	global-rany-native-age-residual-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-native-age-residual-figure	global-rany-native-age-residual-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-native;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-native-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-1x1x5-cort-gmv-agreement-figure	global-rany-1x1x5-cort-gmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-1x1x5-cort-gmv-agreement-figure	global-rany-1x1x5-cort-gmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-1x1x5-cort-gmv-r2-stat	global-rany-1x1x5-cort-gmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-1x1x5-cort-gmv-r2-stat	global-rany-1x1x5-cort-gmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cort-gmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cort-gmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-1x1x5-cereb-wmv-agreement-figure	global-rany-1x1x5-cereb-wmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-1x1x5-cereb-wmv-agreement-figure	global-rany-1x1x5-cereb-wmv-agreement-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cereb-wmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cereb-wmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-1x1x5-cereb-wmv-r2-stat	global-rany-1x1x5-cereb-wmv-r2-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-1x1x5-cereb-wmv-r2-stat	global-rany-1x1x5-cereb-wmv-r2-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cereb-wmv-r2-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-cereb-wmv-r2-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-rany-1x1x5-age-residual-figure	global-rany-1x1x5-age-residual-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-rany-1x1x5-age-residual-figure	global-rany-1x1x5-age-residual-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-age-residual-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-rany-1x1x5;spec:global-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-rany-1x1x5-age-residual-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--global-panel-values-table	global-panel-values-table	pilot-only	ds007116	table	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/tables/global-panel-values-table.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-racl-native;pilot-ds007116--derivative-racl-1x1x5;pilot-ds007116--derivative-rany-native;pilot-ds007116--derivative-rany-1x1x5;spec:global-metrics-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-panel-values-table.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-global	planned	ds007116 eligibility and input availability are not yet established; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
claim-abcd--global-panel-values-table	global-panel-values-table	claim-bearing	abcd	table	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/tables/global-panel-values-table.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;claim-abcd--derivative-reconall-fs741-native;claim-abcd--derivative-racl-native;claim-abcd--derivative-racl-1x1x5;claim-abcd--derivative-rany-native;claim-abcd--derivative-rany-1x1x5;spec:global-metrics-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/global-panel-values-table.yaml#sha256:PENDING	PLANNED:reproduce-abcd-global	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Metric fields, percent-difference definition, R2 definition, model, exclusions, and missingness remain unresolved
pilot-ds007116--regional-peak-gmv-age-surface-figure	regional-peak-gmv-age-surface-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/regional-peak-gmv-age-surface-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;input:ds007116:regional-milestone:PENDING;input:ds007116:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-gmv-age-surface-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-regional	planned	ds007116 eligibility and input availability are not yet established; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
claim-abcd--regional-peak-gmv-age-surface-figure	regional-peak-gmv-age-surface-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/regional-peak-gmv-age-surface-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;input:abcd:regional-milestone:PENDING;input:abcd:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-gmv-age-surface-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-regional	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
pilot-ds007116--regional-age-bias-coefficient-surface-figure	regional-age-bias-coefficient-surface-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/regional-age-bias-coefficient-surface-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;input:ds007116:regional-milestone:PENDING;input:ds007116:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-age-bias-coefficient-surface-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-regional	planned	ds007116 eligibility and input availability are not yet established; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
claim-abcd--regional-age-bias-coefficient-surface-figure	regional-age-bias-coefficient-surface-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/regional-age-bias-coefficient-surface-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;input:abcd:regional-milestone:PENDING;input:abcd:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-age-bias-coefficient-surface-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-regional	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
pilot-ds007116--regional-peak-age-vs-age-bias-scatter-figure	regional-peak-age-vs-age-bias-scatter-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/regional-peak-age-vs-age-bias-scatter-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;input:ds007116:regional-milestone:PENDING;input:ds007116:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-age-vs-age-bias-scatter-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-regional	planned	ds007116 eligibility and input availability are not yet established; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
claim-abcd--regional-peak-age-vs-age-bias-scatter-figure	regional-peak-age-vs-age-bias-scatter-figure	claim-bearing	abcd	figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/regional-peak-age-vs-age-bias-scatter-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;input:abcd:regional-milestone:PENDING;input:abcd:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-age-vs-age-bias-scatter-figure.yaml#sha256:PENDING	PLANNED:reproduce-abcd-regional	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
pilot-ds007116--regional-peak-age-vs-age-bias-r-stat	regional-peak-age-vs-age-bias-r-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/regional-peak-age-vs-age-bias-r-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;input:ds007116:regional-milestone:PENDING;input:ds007116:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-age-vs-age-bias-r-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-regional	planned	ds007116 eligibility and input availability are not yet established; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
claim-abcd--regional-peak-age-vs-age-bias-r-stat	regional-peak-age-vs-age-bias-r-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/regional-peak-age-vs-age-bias-r-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;input:abcd:regional-milestone:PENDING;input:abcd:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-age-vs-age-bias-r-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-regional	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
pilot-ds007116--regional-peak-age-vs-age-bias-p-stat	regional-peak-age-vs-age-bias-p-stat	pilot-only	ds007116	statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/regional-peak-age-vs-age-bias-p-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;input:ds007116:regional-milestone:PENDING;input:ds007116:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-age-vs-age-bias-p-stat.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-regional	planned	ds007116 eligibility and input availability are not yet established; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
claim-abcd--regional-peak-age-vs-age-bias-p-stat	regional-peak-age-vs-age-bias-p-stat	claim-bearing	abcd	statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/regional-peak-age-vs-age-bias-p-stat.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;input:abcd:regional-milestone:PENDING;input:abcd:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-peak-age-vs-age-bias-p-stat.yaml#sha256:PENDING	PLANNED:reproduce-abcd-regional	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
pilot-ds007116--regional-analysis-values-table	regional-analysis-values-table	pilot-only	ds007116	table	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/tables/regional-analysis-values-table.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;input:ds007116:regional-milestone:PENDING;input:ds007116:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-analysis-values-table.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-regional	planned	ds007116 eligibility and input availability are not yet established; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
claim-abcd--regional-analysis-values-table	regional-analysis-values-table	claim-bearing	abcd	table	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/tables/regional-analysis-values-table.tsv	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:abcd:cohort-manifest:PENDING;input:abcd:regional-milestone:PENDING;input:abcd:surface-resources:PENDING;spec:regional-compared-runtime-atlas-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/regional-analysis-values-table.yaml#sha256:PENDING	PLANNED:reproduce-abcd-regional	blocked-input-identity	ABCD release, query, cohort, and authorized retrieval are unresolved; Compared tool/condition, atlas, milestone resource, model, exclusions, and multiplicity remain unresolved
pilot-ds007116--version-fs741-vs-fs820-cort-gmv-agreement-figure	version-fs741-vs-fs820-cort-gmv-agreement-figure	pilot-only	ds007116	figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/version-fs741-vs-fs820-cort-gmv-agreement-figure.svg	PENDING	PENDING	PENDING:morphometrics-analysis-custom	PENDING	PENDING	input:ds007116:cohort-manifest:PENDING;pilot-ds007116--derivative-reconall-fs741-native;pilot-ds007116--derivative-reconall-fs820-native;spec:version-metrics-percent-difference-and-model:UNRESOLVED	PENDING	PLANNED:config/result-specifications/version-fs741-vs-fs820-cort-gmv-agreement-figure.yaml#sha256:PENDING	PLANNED:reproduce-ds007116-version	planned	ds007116 eligibility and input availability are not yet established; 8.2.0 is an intended reconstruction target, not an identified historical runtime; metric and model specifications remain unresolved
